municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
守谷市,第6弾,2017/12/9,【平日】守谷市上下水道事務所【休日】守谷市役所,【平日】茨城県守谷市百合ヶ丘2-2734-1【休日】茨城県守谷市大柏950-1,【平日】電話：0297-48-1842【休日】電話：0297-45-1111,8:30～17:15それぞれ配布窓口が異なるのでご注意ください,139.98103 : 35.94944,139.97459 : 35.9513,,,
常陸大宮市,第18弾,2023/1/28,道の駅常陸大宮～かわプラザ～,茨城県常陸大宮市岩崎717-1,電話：0295-58-5038,9:00～18:00,140.41376 : 36.59721,,,,
那珂市,第10弾,2019/8/7,那珂市曲がり屋,茨城県那珂市菅谷4520-1（一ノ関ため池親水公園）,電話：029-295-1315,9:00～16:30ただし、月曜日（祭日の場合はその翌日、11～3月は無休）及び年末年始はお休みです,140.48831 : 36.45662,,,,
筑西市,第11弾,2019/12/14,【平日】筑西市役所上下水道部下水道課【休日】筑西市役所1階総合案内,茨城県筑西市丙360番地,電話：0296-22-0503【休日】電話：0296-24-2111,【平日】8：30～17：15【休日】9：00～17：00,139.97942 : 36.30524,,,,
かすみがうら市,第21弾,2023/12/15,かすみがうら市交流センター,茨城県かすみがうら市坂4784番地先,電話:029-840-9010,10:00～16：00ただし、休館日（年末年始、館内清掃日等）はお休みです,140.36362 : 36.0783,,,,
桜川市(A001),第11弾,2019/12/14,【平日】桜川市役所下水道課【休日】桜川市役所真壁庁舎,【平日】茨城県桜川市真壁町飯塚911番地【休日】茨城県桜川市真壁町飯塚911番地,【平日】電話：0296-55-1111【休日】電話：0296-55-1111,【平日】9：00～16：00【休日】9：00～16：00,140.0914 : 36.27898,140.0914 : 36.27898,,,
桜川市(B001),第24弾,2024/12/20,【平日】桜川市役所大和庁舎総合窓口課【休日】桜川市役所大和庁舎日直窓口,茨城県桜川市羽田1023番地,（問合せ先）桜川市上下水道部下水道課電話:0296-55-1111,9:00～16:00年末年始も配布します,140.09235 : 36.3286,,,,
行方市,第8弾,2018/8/11,天王崎観光交流センター「コテラス」,茨城県行方市麻生419-1（白帆の湯あそう温泉内）,電話：0299-80-6622（問い合わせ先）行方市役所下水道課電話：0299-55-0111,10：00～17：00ただし、水曜日はお休みです,140.47641 : 35.98537,,,,
鉾田市,第10弾,2019/8/7,鉾田市役所本庁舎１F市民課窓口,茨城県鉾田市鉾田1444番地1,電話：0291-33-2111（代表）（問い合わせ先）鉾田市役所上下水道部下水道課電話：0291-32-8381,8：30～17：00（土・日・祝日　含む）※平日のマンホールカードの配布は、通常業務中の窓口での対応となります。窓口に設置してあります、証明書発行の番号札をとってお待ちください。混雑状況により、受付にお時間を要する場合がありますので、事前にご了承ください。,140.51581 : 36.15877,,,,
大洗町,第18弾,2023/1/28,大洗町観光情報交流センター「うみまちテラス」,茨城県東茨城郡大洗町桜道301,電話：029-352-2715,9：00～18：00ただし、12月29日～12月31日はお休みです,140.56267 : 36.31517,,,,
五霞町,第21弾,2023/12/15,【平日】五霞町役場建設水道課【土日祝日】五霞町役場日直,【平日】茨城県猿島郡五霞町大字小福田1162番地1（庁舎2階）【土日祝日】茨城県猿島郡五霞町大字小福田1162番地1,【平日】電話：0280-84-3000【土日祝日】電話：0280-84-1111（自動音声対応）※土日祝日は正面玄関が施錠されていますので、庁舎に向かって右側の通用口（らせん階段脇）でインターホンを押してお待ちください。,【平日】9:00～17:00ただし、土日祝日はお休みです【土日祝日】9:00～17:00,139.74669 : 36.11348,139.74669 : 36.11348,,,
栃木県（流域下水道）,第7弾,2018/4/28,【平日】栃木県下水道管理事務所【休日】上三川町観光協会,【平日】栃木県河内郡上三川町多功1159【休日】栃木県河内郡上三川町しらさぎ1-3-5（むかしなつかし館内）,【平日】電話：0285-53-5695【休日】電話：0285-57-2335,【平日】9:00～16:00【休日】11:00～16:00ただし、年末年始はお休みです,139.86443 : 36.41499,139.90797 : 36.43947,,,
宇都宮市（A001）,第03弾,2016/12/1,宇都宮市上下水道局【平日】2階 経営企画課【休日】1階 警備員室,栃木県宇都宮市河原町1-41,電話：028-633-3230,8:30～17:15ただし、年末年始はお休みですそれぞれ配布窓口が異なるのでご注意ください,139.88342 : 36.55079,,,,
宇都宮市（B001）,第10弾,2019/8/7,宇都宮市観光案内所,栃木県宇都宮市川向町1-23,電話：028－636-2177,8:30～20:00ただし、年末年始（12月29日～1月3日）はお休みです,139.89767 : 36.56013,,,,
宇都宮市(C001),第23弾,2024/7/26,交通未来都市うつのみやオープンスクエア,栃木県宇都宮市駅前通り1丁目4-6 トナリエ宇都宮 3階,電話:028-611-3206,10:00～19:00ただし、トナリエ宇都宮の閉館日（年始のみ）はお休みです,139.89708 : 36.56047,,,,
足利市（A001）,第2弾,2016/8/1,太平記館,栃木県足利市伊勢町3-6-4（足利市観光協会駐車場内）,電話：0284-43-3000,9:00～17:00ただし、年末（12/29～12/31）はお休みです,139.45435 : 36.3349,,,,
足利市（B001）,第4弾,2017/4/3,足利まちなか遊学館,栃木県足利市通1-2673-1,電話：0284-41-8201,9:00～17:00ただし、第3月曜日（祝祭日・振替休日の時は翌日）、年末（12/29～12/31）はお休みです※史跡足利学校の休館日に合わせ、休館日が変更となる月があります,139.45319 : 36.33427,,,,
栃木市,第9弾,2018/12/14,一般社団法人栃木市観光協会,栃木県栃木市倭町14-1,電話：0282-25-2356(問い合わせ先)栃木市上下水道局上下水道総務課電話：0282-25-2104,8:30～17:00ただし、年末年始(12/29～1/3)はお休みです,139.73438 : 36.38008,,,,
佐野市,第9弾,2018/12/14,佐野市観光物産会館,栃木県佐野市金井上町2519,電話：0283-21-5111(問い合わせ先)佐野市上下水道局下水道課電話：0283-23-1120,9:00～18:00不定休,139.57253 : 36.3112,,,,
鹿沼市,第10弾,2019/8/7,まちの駅　新・鹿沼宿,栃木県鹿沼市仲町1604-1,電話：0289-60-2507,9:00～19:00,139.74602 : 36.56406,,,,
日光市（A001）,第8弾,2018/8/11,日光市観光協会　今市支部,栃木県日光市今市717-1,電話：0288-22-1525,9：00～17：00,139.68797 : 36.72472,,,,
日光市（B001）,第9弾,2018/12/14,栃木県立日光自然博物館（奥日光インフォメーションセンター）,栃木県日光市中宮祠2480-1,電話：0288-55-0880,【4/1～11/10】9:00～17:00【11/11～3/31】10:00～16:00ただし、11月〜5月の月曜日(月曜日が祝日の場合、翌日以降に振り替え）、年末年始(12/29〜1/3）はお休みです,139.50159 : 36.73977,,,,
小山市,第15弾,2021/8/17,【平日】小山市役所市役所４階　上下水道施設課内【土日祝日】小山市役所　市役所1階　中央管理室（庁舎西側）,栃木県小山市中央町1-1-1,（問合せ先）小山市建設水道部上下水道施設課電話：0285-24-7617,8:30～17:15,139.79967 : 36.31435,,,,
真岡市,第11弾,2019/12/14,久保記念観光文化交流館,栃木県真岡市荒町1105番地1,電話:0285-82-2012,9:00～17:00ただし、火曜日(祝日の場合は翌日)、年末年始はお休みです,140.011618 : 36.443115,,,,
大田原市,第3弾,2016/12/1,大田原市観光交流センター（大田原市観光協会）,栃木県大田原市黒羽田町848（大田原市黒羽支所内）,電話：0287-54-1110,9：00〜17：00ただし、年末年始（12/29〜1/3）はお休みです,140.12439 : 36.86061,,,,
那須塩原市(A001),第11弾,2019/12/14,那須塩原市塩原もの語り館,栃木県那須塩原市塩原747,電話：0287-32-4000,8：30～17：00臨時閉館日がありますのでご注意ください,139.81947 : 36.9724,,,,
那須塩原市(B001),第12弾,2020/4/25,板室自然遊学センター,栃木県那須塩原市百村3090-6,電話:0287-69-0231,10：00～15：00ただし、第4水曜日、祝祭日の翌日、年末年始（12/30～1/2）はお休みです,139.86511 : 37.08015,,,,
さくら市,第18弾,2023/1/28,【平日土曜日】さくら市役所　卯の里庁舎【日曜日】さくら市役所　当直室,【平日土曜日】栃木県さくら市氏家2190-7【日曜日】栃木県さくら市氏家2771,【平日土曜日】電話：028-681-1118【日曜日】電話：028-681-1111,8:30～17:00,139.9568 : 36.68272,139.96657 : 36.68531,,,
下野市,第6弾,2017/12/9,グリムの森「グリムの館」,栃木県下野市下古山747,電話：0285-52-1180,9：00～17：00ただし、火曜日と月末日はお休みです。（土日祝日の場合は開館、その翌日が休館）また、年末年始（12/28～1/4）はお休みです,139.85588 : 36.4553,,,,
上三川町,第23弾,2024/7/26,上三川町ＯＲＩＧＡＭＩプラザ,栃木県河内郡上三川町大字上三川４１７３番地１,電話:0285-56-9159（問合せ先）上三川町上下水道課電話:0285-56-9167,9：00～17：00ただし、年末年始（12/29～1/3）はお休みです。その他、施設の点検等で休館する場合があります。,139.90903 : 36.43592,,,,
壬生町(A001),第14弾,2021/4/25,【平日】壬生町役場下水道課【休日】壬生町役場宿直室,栃木県下都賀郡壬生町大字壬生甲３８４１番地１,電話:0282-81-1859,9：00－17：00（年中無休）,139.81451 : 36.44137,,,,
壬生町(B001),第18弾,2023/1/28,壬生町おもちゃ博物館,栃木県下都賀郡壬生町国谷2300番地,電話：0282-86-7111(問合せ先)壬生町建設部下水道課電話：0282-81-1858,10：45～16：30ただし、毎週月曜・年末年始はお休みです。（月曜日が祝日・振替休日の場合は翌日が休みとなります。）,139.80838 : 36.46192,,,,
群馬県（流域下水道）,第5弾,2017/8/1,【平日】群馬県県土整備部 下水道総合事務所【土日祝日】玉村町総合運動公園 管理棟,【平日】群馬県佐波郡玉村町上之手1846-1,電話：0270-65-7557【土日祝日】群馬県佐波郡玉村町宇貫481電話：0270-65-9530※臨時休園が心配な方の事前確認は電話でお願いします,【平日】9:00～12:00、13:00〜17:00【土日祝日】9:00～16:00※ただし年末年始（12/29～1/3）はお休みです,139.110206 : 36.297491,,,,
前橋市,第3弾,2016/12/1,道の駅「まえばし赤城」観光案内所,群馬県前橋市田口町３６番地,電話：027-212-0082,9:00～18:00ただし、年末年始（12/30～1/3）はお休みです,139.04689 : 36.447,,,,
桐生市(A001),第07弾,2018/4/28,桐生市観光情報センター「シルクル桐生」,群馬県桐生市本町5丁目354番地,電話　0277-32-4555,9：00～17：00休館日：12月29日〜1月3日,139.33839 : 36.41087,,,,
桐生市(B001),第16弾,2022/1/15,【平日】桐生市役所水道局下水道課【休日】桐生市役所宿日直室,群馬県桐生市織姫町1番1号,電話：0277-46-1111（内線752）,【平日】9：00～17：00【休日】9：00～17：00,139.3306 : 36.40532,,,,
伊勢崎市,第24弾,2024/12/20,【通常】伊勢崎駅前インフォメーションセンター【上記の休館日】伊勢崎市上下水道局総務課,【通常】群馬県伊勢崎市曲輪町8番地1【上記の休館日】群馬県伊勢崎市連取元町170番地3,【通常】電話:0270-61-8008【上記の休館日】電話:0270-30-1272（問合せ先）伊勢崎市上下水道局下水道施設課電話:0270-32-4554,【通常】9:00～16:00ただし、月曜日(祝日のときは、その直後の平日)及び年末年始はお休みです【上記の休館日】9:00～17:00月曜日(祝日のときは、その直後の平日)に配布しますただし、年末年始はお休みです,139.19278 : 36.32607,139.18004 : 36.31026,,,
沼田市,第8弾,2018/8/11,沼田市観光案内所,群馬県沼田市西倉内町2889-3,電話：0278-25-8555,【4～11月】9：00～17：00【12～3月】9：00～16：00ただし、年末年始、臨時休館日はお休みです,139.03899 : 36.64739,,,,
館林市,第3弾,2016/12/1,つつじが岡ふれあいセンター,群馬県館林市花山町3181,電話：0276-74-5233,9：00～17：00（最終入館16時30分）※月曜日（祝日の場合は翌平日）と年末年始と臨時休館日はお休みです,139.55154 : 36.24183,,,,
渋川市（A001）,第09弾,2018/12/14,中央公民館（渋川東部公民館）,群馬県渋川市渋川908番地21,電話:0279－22－4321（問い合わせ先）渋川市上下水道局電話:0279－22－2504,8:30～17:00休館日:年末年始、定期清掃時定期清掃時は渋川市役所上下水道局総務経営課にて配布します。（渋川市役所第二庁舎になりますのでご注意ください。）,139.00525 : 36.50119,,,,
渋川市（B001）,第10弾,2019/8/7,伊香保ロープウェイ不如帰駅観光案内所,群馬県渋川市伊香保町伊香保558番地1,電話：0279-72-2418（問い合わせ先）渋川市上下水道局電話：0279-22-2120,9:00～18:00年中無休,138.92435 : 36.49498,,,,
渋川市(C001),第12弾,2020/4/25,渋川地区名産品センター（しぶさん）,群馬県渋川市渋川1832番地27 渋川駅前プラザ,電話:0279-26-2423(問合せ先)渋川市上下水道局電話:0279-22-2504,9:00～19:00ただし、１月１日、臨時休館日はお休みです,139.00647 : 36.49323,,,,
藤岡市,第7弾,2018/4/28,道の駅ららん藤岡,群馬県藤岡市観光案内所群馬県藤岡市中1131-8,電話：0274-50-9933（問い合わせ先）藤岡市役所 下水道課電話：0274-22-1211,9：30～17：00ただし、年末年始（12/29～1/3）はお休みです,139.07457 : 36.25851,,,,
富岡市,第3弾,2016/12/1,まちなか観光物産館「お富ちゃん家」観光案内所,群馬県富岡市富岡1151-1,電話：0274-62-6001（問い合わせ先）富岡市建設水道部下水道課電話：0274-64-1151,9：00～17：00年末（12/29～31）はお休みです,138.89211 : 36.25594,,,,
みどり市,第9弾,2018/12/14,一般社団法人みどり市観光協会,群馬県みどり市大間々町大間々1034-5,電話：0277-46-7289,9:00～16:00ただし、年末年始はお休みです,139.2742 : 36.43547,,,,
吉岡町,第12弾,2020/4/25,【平日】吉岡町役場上下水道課【休日】吉岡町文化センター,【平日】群馬県北群馬郡吉岡町大字下野田560【休日】群馬県北群馬郡吉岡町大字下野田472,【平日】電話:0279-26-2284（直通）【休日】電話:0279-54-1161,【平日】8:30～17:15【休日】9:00～18:00ただし、年末年始はお休みです,139.00987 : 36.44725,139.01129 : 36.44788,,,
草津町,第08弾,2018/8/11,草津町役場,群馬県吾妻郡草津町大字草津28,電話：0279-88-7183（問い合わせ先）草津町役場上下水道課電話：0279-88-7183,8：30～17：00ただし、土日、祝日、年末年始はお休みです,138.59621 : 36.6207,,,,
玉村町,第11弾,2019/12/14,【平日】玉村町水道庁舎（玉村町上下水道課）【休日】道の駅　玉村宿（総合案内）,【平日】群馬県佐波郡玉村町大字上新田1116-3【休日】群馬県佐波郡玉村町大字上新田604-1,【平日】電話：0270-65-6691(問合せ先)玉村町上下水道課(平日9：00〜17：00)【休日】電話：0270-27-6688,9:30～17:00ただし、年末年始はお休みです,139.10529 : 36.30862,139.09952 : 36.30426,,,
明和町,第20弾,2023/7/28,駅前プラザ「メイちゃん家」,群馬県邑楽郡明和町中谷328-10,電話:0276-51-6381（問合せ先）明和町役場都市建設課電話:0276-84-3111,【平日】8：00～20：00【休日】9：00～17：00ただし、年末年始（12/29～1/3）はお休みです,139.52588 : 36.20786,,,,
大泉町,第4弾,2017/4/3,【平日】大泉町役場 公園下水道課【休日】大泉町役場 総合窓口,群馬県邑楽郡大泉町日の出55-1,電話：0276-63-3111,8：30～17：15,139.40489 : 36.24812,,,,
邑楽町(A001),第08弾,2018/8/11,【平日】邑楽町役場２階 都市計画課【休日】邑楽町役場１階 休日受付窓口,群馬県邑楽郡邑楽町大字中野2570-1,電話：0276-88-5511（問い合わせ先）電話：0276-47-5037,8：30～17：15,139.46216 : 36.25274,,,,
邑楽町(B001),第21弾,2023/12/15,【通常】シンボルタワー 未来MiRAi【上記休館日】邑楽町役場都市計画課2F（月、火 ※祝日を除く）休日受付窓口1F（年末年始）,【通常】群馬県邑楽郡邑楽町大字中野2639番地1【上記休館日】群馬県邑楽郡邑楽町大字中野2570番地1,【通常】電話:0276-88-8686【上記休館日】電話:0276-47-5037(都市計画課)：0276-88-5511（休日窓口）（問合せ先）邑楽町役場都市計画課電話:0276-47-5037,【通常】10：00～18：00（４月～９月）10：00～16：00（10月～３月）※イルミーネション開催時期については21:00まで※ただし、月・火（祝日を除く）、年末年始はお休みです【上記休館日】8：30～17：15休館日（月・火（祝日を除く）、年末年始）に配布します,139.46216 : 36.25274,139.46216 : 36.25274,,,
埼玉県下水道公社,第17弾,2023/1/28,荒川水循環センター（守衛室）,埼玉県戸田市笹目5-37-14,電話：048-421-5861（問い合わせ先）公益財団法人埼玉県下水道公社荒川左岸南部支社電話：048-421-5861,9:00～12:00、13:00～16:30,139.63913 : 35.81608,,,,
埼玉県（流域下水道・A001）,第04弾,2017/4/3,公益財団法人埼玉県下水道公社 荒川左岸南部支社,埼玉県戸田市笹目5-37-14,電話：048-421-5861,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.63913 : 35.81608,,,,
埼玉県（流域下水道・B001）,第04弾,2017/4/3,公益財団法人埼玉県下水道公社 荒川左岸北部支社,埼玉県桶川市大字小針領家939,電話：048-728-2011,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.58952 : 36.02576,,,,
埼玉県（流域下水道・C001）,第04弾,2017/4/3,公益財団法人埼玉県下水道公社 荒川右岸支社,埼玉県和光市新倉6-1-1,電話：048-466-2400※新河岸川上流水循環センター（川越市大仙場1287）では配布していません,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.61919 : 35.80602,,,,
埼玉県（流域下水道・D001）,第04弾,2017/4/3,公益財団法人埼玉県下水道公社 中川支社,埼玉県三郷市番匠免3-2-2,電話：048-952-3351,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.86623 : 35.83674,,,,
埼玉県（流域下水道・E001）,第04弾,2017/4/3,公益財団法人埼玉県下水道公社 古利根川支社,埼玉県久喜市吉羽772-1,電話：0480-22-3819,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.6855 : 36.06641,,,,
埼玉県（流域下水道・F001）,第04弾,2017/4/3,埼玉県荒川上流水循環センター,埼玉県深谷市菅沼984,電話：048-583-7525,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.29265 : 36.13678,,,,
埼玉県（流域下水道・G001）,第04弾,2017/4/3,埼玉県市野川水循環センター,埼玉県比企郡滑川町大字月輪521-6,電話：0493-62-0410,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.35823 : 36.04559,,,,
埼玉県（流域下水道・H001）,第04弾,2017/4/3,埼玉県小山川水循環センター,埼玉県本庄市東五十子382-1,電話：0495-21-7997,9：00～17：00ただし、土日、祝日、年末年始はお休みです,139.2177 : 36.22858,,,,
埼玉県（流域下水道・I001）,第17弾,2023/1/28,イオンスタイル北戸田（1階サービスカウンター）,埼玉県戸田市美女木東1-3-1,電話：048-422-9700,9：00～22：00ただし、休業日を除きます,139.65303 : 35.82671,,,,
さいたま市(A001),第1弾,2016/4/1,浦和観光案内所,埼玉県さいたま市浦和区高砂1-16-12 アトレ浦和South Area,電話：048-883-1055,10:00～18:00　ただし、年末年始はお休みです,139.65707 : 35.85876,,,,
さいたま市(B001),第22弾,2024/4/26,さいたま新都心観光案内所,埼玉県さいたま市中央区上落合2（JRさいたま新都心駅東西自由通路内）,電話:048-600-0070,10:00～17:30ただし、年末年始はお休みです,139.62735 : 35.89043,,,,
川越市(A001),第04弾,2017/4/3,本川越駅観光案内所,埼玉県川越市新富町1丁目22本川越ペペ1階,（問い合わせ先）川越市上下水道局総務企画課電話：049-223-3063,9:00～17:00（年中無休）,139.4817 : 35.91463,,,,
川越市(B001),第17弾,2022/8/6,川越駅観光案内所,埼玉県川越市脇田町24-9,(問い合わせ先)川越市上下水道局総務企画課電話：049-223-3063,9:00～17:00(年中無休),139.48364 : 35.90688,,,,
熊谷市（A001）,第03弾,2016/12/1,【平日】熊谷市役所 上下水道部 下水道課【休日】熊谷市役所警備員室,【平日】埼玉県熊谷市宮町2-47-1【休日】埼玉県熊谷市宮町2-47-1,【平日】電話：048-524-1446【休日】電話：048-524-1111,【平日】8:30～17:15【休日】8:30～17:15ただし、年末年始はお休みです,139.38858 : 36.14713,139.38858 : 36.14713,,,
熊谷市（B001）,第10弾,2019/8/7,熊谷駅観光案内所,埼玉県熊谷市筑波2-115-1,電話：048-594-6677,9:00～18:00ただし、年末年始はお休みです,139.39052 : 36.13948,,,,
川口市,第6弾,2017/12/9,キュポ・ラ総合受付,埼玉県川口市川口1-1-1（2階）,電話：048-228-2111（問い合わせ先）川口市役所 下水道部電話：048-258-4132,10：00～13：00、14：00～17：00ただし、年末年始（12/29～1/3）はお休みです,139.71848 : 35.80074,,,,
行田市,第3弾,2016/12/1,【通常】行田市郷土博物館【博物館休館日】観光物産館ぶらっと♪ぎょうだ,【通常】埼玉県行田市本丸17-23【博物館休館日】埼玉県行田市忍2-1-8,【通常】電話：048-554-5911【博物館休館日】電話：048-554-1036（問い合わせ先）行田市下水道課電話：048-564-0303,【通常】9：00～16：00ただし、月曜日（祝日休日は開館）、祝日の翌日（土日は開館）、第4金曜日（テーマ展、企画展開催中は開館）、年末年始（12/28～1/3）はお休みですなお、臨時休館日もございますので、事前に左記HP、もしくは右記からご確認ください【博物館休館日】9：30～17：00ただし、年末年始（12/29～1/3）はお休みです。,139.45314 : 36.13772,139.45769 : 36.1403,,,
所沢市（A001）,第01弾,2016/4/1,【平日】所沢市上下水道局1階　お客様センター【土日祝日】所沢市上下水道局1階,埼玉県所沢市宮本町2-21-4,【平日】電話：04-2921-1022【土日祝日】夜間・総合窓口電話：04-2921-1100（問い合わせ先）下水道維持課電話：04-2921-1022,8：30～18：00,139.46043 : 35.79778,,,,
所沢市（B001）,第08弾,2018/8/11,【平日】所沢市役所別館　商業観光課【土日祝日】所沢市役所１階　夜間休日受付,【平日】埼玉県所沢市並木1-1【土日祝日】埼玉県所沢市並木1-1-1,【平日】電話：04-2998-9155【土日祝日】（問い合わせ先）下水道維持課電話：04-2921-1022,8：30～17：15,139.46796 : 35.79907,139.46796 : 35.79907,,,
所沢市(C001),第16弾,2022/1/15,野老澤町造商店,埼玉県所沢市元町21-18,（問い合わせ先）下水道維持課電話：04-2921-1022,10：00～17：30ただし、毎週水曜、木曜、祝日、年末年始はお休みです。※臨時休日もあるため、事前にHP等でご確認ください。,139.46552 : 35.79104,,,,
所沢市(D001),第16弾,2022/1/15,所沢市観光情報・物産館YOT－TOKO,埼玉県所沢市松郷143-3,（問い合わせ先）下水道維持課電話：04-2921-1022,9：00～17：00,139.50473 : 35.798,,,,
飯能市,第20弾,2023/7/28,一般社団法人奥むさし飯能観光協会事務局,埼玉県飯能市本町1番7号,電話:042-980-5051,9:00～17:00ただし、年末年始、施設点検日はお休みです,139.31647 : 35.85455,,,,
加須市,第23弾,2024/7/26,【月曜日～金曜日】加須市物産観光協会（加須市役所本庁舎２階 観光振興課内）【土曜日・日曜日】加須市上下水道部下水道課（加須市環境浄化センター内）,【月曜日～金曜日】埼玉県加須市三俣2-1-1【土曜日・日曜日】埼玉県加須市花崎2046番地,【月曜日～金曜日】電話:0480-62-1111【土曜日・日曜日】電話:0480-65-8981,【月曜日～金曜日】9：00～17：00【土曜日・日曜日】9：00～17：00,139.60179 : 36.1315,139.62035 : 36.10898,,,
本庄市(A001),第10弾,2019/8/7,【平日】本庄市役所庁舎下水道課【休日】本庄市役所休日窓口,埼玉県本庄市本庄3-5-3,電話：0495-25-1147【休日】電話：0495-25-1111,8：30～17：15,139.18971 : 36.24287,,,,
本庄市(B001),第13弾,2020/12/17,【通常】本庄早稲田の杜ミュージアム【休館日】本庄市役所文化財保護課,【通常】埼玉県本庄市西富田1011早稲田大学93号館１F【休館日】埼玉県本庄市本庄3-5-3,【通常】電話：0495-71-6878【休館日】電話：0495-25-1186（問合せ先）本庄市役所下水道課電話：0495-25-1147,【通常】本庄早稲田の杜ミュージアム9：00～16：30ただし、月曜日（休日の場合翌日）、年末年始（12/28～1/3）はお休みです【休館日】本庄市役所文化財保護課（本庄早稲田の杜ミュージアムの休館日に配布しますただし、年末年始（12/29～1/3）はお休みです）8：30～17：15,139.17397 : 36.21754,139.18971 : 36.24287,,,
狭山市,第7弾,2018/4/28,狭山市市民交流センター2F 総合案内,埼玉県狭山市入間川1丁目3-1,電話：04-2954-2111（問い合わせ先）狭山市役所 上下水道部 経営課 経営担当電話：04-2953-1111（内線2721・2722）,8：00～22：00ただし、年末年始（12/29～1/3）、施設点検日はお休みです,139.41225 : 35.85805,,,,
羽生市,第6弾,2017/12/9,羽生市三田ヶ谷農林公園　キヤッセ羽生「ムジナモ市場」,埼玉県羽生市大字三田ヶ谷1725,電話：048-565-5255（問い合わせ先）羽生市まちづくり部下水道課電話：048-565-1551,10：00～17：00ただし、年末年始はお休みです,139.60431 : 36.17293,,,,
鴻巣市(A001),第11弾,2019/12/14,【水曜日以外】鴻巣市産業観光館「ひなの里」【水曜日】鴻巣市上下水道部下水道課,【水曜日以外】埼玉県鴻巣市人形1-4-20【水曜日】埼玉県鴻巣市中央1-1,【水曜日以外】電話：048-540-3333【水曜日】電話：048-541-1321,【水曜日以外】9:00～17:00【水曜日】8:30～17:15ただし、年末年始（12/28～1/3）はお休みです,139.51788 : 36.05283,139.52129 : 36.06676,,,
鴻巣市(B001),第20弾,2023/7/28,【火曜日以外】コウノトリ野生復帰センター「天空の里」【火曜日】鴻巣市上下水道部下水道課,【火曜日以外】埼玉県鴻巣市明用632【火曜日】埼玉県鴻巣市中央1-1,【火曜日以外】電話:048-594-6311【火曜日】電話:048-541-1321,【火曜日以外】9:00～16:45（3月～10月）9:00～16:00（11月～2月）【火曜日】8:30～17:15ただし、年末年始（12月29日から1月3日）はお休みです,139.4525 : 36.0862,139.52129 : 36.06676,,,
深谷市(A001),第19弾,2023/4/28,深谷テラスパーク管理棟事務所,埼玉県深谷市花園114,電話:048-579-2022,9:00~17:00ただし、年末年始はお休みです,139.28146 : 36.19747,,,,
深谷市(B001),第23弾,2024/7/26,道の駅おかべ　ふるさと物産センター,埼玉県深谷市岡部688-1,電話:048-585-5001,10：00～17：00,139.24648 : 36.19495,,,,
上尾市(A001),第5弾,2017/8/1,上尾市役所上下水道部 下水道施設課,埼玉県上尾市大字上尾村1157番地(上下水道部庁舎2階),電話：048-775-9372,8：30〜17：00※ただし、土日、祝日、年末年始はお休みです,139.59644 : 35.98249,,,,
上尾市(B001),第12弾,2020/4/25,あげお お土産・観光センター,埼玉県上尾市宮本町3-2-207（A-geoタウン2階）,電話：048-780-2266,10：30〜18：30ただし、月曜日、年末年始はお休みです。※月曜日が祝日の場合は、翌日以降の平日がお休みです。※大雪や台風等の悪天候等諸事情により臨時休館する場合があります,139.5898 : 35.97445,,,,
草加市（A001）,第8弾,2018/8/11,草加宿芭蕉庵,埼玉県草加市神明二丁目145番地1,（問い合わせ先）草加市上下水道部下水道課電話：048-922-2286,10：30～15：30ただし、月曜日（祝祭日の場合は翌日）、年末年始（12/29～1/3）はお休みです,139.80833 : 35.83538,,,,
草加市（B001）,第9弾,2018/12/14,伝統産業展示室『ぱりっせ』,埼玉県草加市松江一丁目1番5号,電話：048-931-1970（問い合わせ先）草加市　上下水道部　下水道課電話：048-922-2286,10：00～17:00ただし、第1水曜日、G・W（5/3～5）、お盆（8/13～15）、年末年始（12/29～1/4）はお休みです,139.80542 : 35.84402,,,,
越谷市（A001）,第03弾,2016/12/1,市民活動支援センター,埼玉県越谷市弥生町16番1号 越谷ツインシティBシティ5階,電話:048-969-2750,9:00~21:30ただし年末年始(12/29~1/3)はお休みです,139.78658 : 35.88897,,,,
越谷市（B001）,第04弾,2017/4/3,観光物産拠点施設「ガーヤちゃんの蔵屋敷」,埼玉県越谷市弥生町505-2（東武スカイツリーライン越谷駅東口高架下）,電話：048-940-5550,10：00～19：00ただし、月2回、年末年始（12/31〜1/2）はお休みです※不定休のため電話にて要確認,139.78658 : 35.88897,,,,
越谷市(C001),第18弾,2023/1/28,越谷市観光協会,埼玉県越谷市レイクタウン4-1-4（越谷レイクタウン水辺のまちづくり館内）,電話：048-971-9002(問合せ先)越谷市農業技術センター電話：048-969-0120※ただし、問合せの受付は平日8:30~17:15です,9：00～17：00ただし、毎週水曜日（祝日は除く）、年末年始（12/29～1/3）はお休みです,139.82506 : 35.88071,,,,
